id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
37779000,325000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2370,51.3277683,5.0926473,,167,115,2,3,MISSING,0,0,1,10,0,0,0,1,AS_NEW,,MISSING,MISSING,0,
41822000,90000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,102,10,2,2,MISSING,0,1,1,,0,0,0,1,TO_BE_DONE_UP,388,E,GAS,0,505
18552000,135000,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8570,50.8349185,3.4160627,,120,187,4,3,SEMI_EQUIPPED,0,1,0,0,0,0,0,0,TO_RENOVATE,1846,F,WOOD,0,
73167000,345000,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3800,50.816067,5.1875129,1850,198,,2,1,SEMI_EQUIPPED,0,1,0,0,0,0,0,0,GOOD,292,C,GAS,1,1187
28583000,169000,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2360,51.3170994,4.9812579,1985,95,,2,2,MISSING,0,0,1,,0,0,0,0,MISSING,257,C,GAS,1,1
10445000,239000,APARTMENT,APARTMENT,Wallonia,Liège,Huy,4217,50.536484,5.0791755,2019,,,4,2,HYPER_EQUIPPED,0,1,1,,0,0,0,1,AS_NEW,97,B,GAS,1,
35755000,265000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4100,50.5793512,5.5467985,,105,,,2,INSTALLED,0,0,1,8,0,0,0,1,MISSING,,B,GAS,1,
65022000,375000,APARTMENT,SERVICE_FLAT,Flanders,East Flanders,Gent,9000,51.0539067,3.7178208,2017,86,,,2,USA_HYPER_EQUIPPED,0,0,0,0,0,0,0,0,AS_NEW,109,B,GAS,1,
10751000,145000,HOUSE,HOUSE,Flanders,West Flanders,Diksmuide,8647,50.9794966,2.7499348,,65,70,,2,MISSING,0,0,1,18,0,0,0,1,GOOD,484,E,GAS,1,
27066000,218000,APARTMENT,APARTMENT,Wallonia,Luxembourg,Arlon,6792,49.5810191,5.7586219,,76,,2,2,INSTALLED,0,0,1,9,0,0,0,1,GOOD,204,C,ELECTRIC,1,
72451000,399000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1140,50.8789854,4.3924799,,85,,3,2,MISSING,0,0,1,6,0,0,0,1,MISSING,31.14,A,MISSING,0,
35752000,260000,HOUSE,VILLA,Wallonia,Namur,Philippeville,5660,50.0311189,4.4273122,,217,1474,4,4,INSTALLED,0,0,1,55,0,0,0,1,MISSING,429,F,MISSING,1,
34527000,199000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3350,50.8100283,5.0197834,1967,140,661,2,3,MISSING,0,0,1,50,1,406,0,1,TO_RENOVATE,432,E,FUELOIL,1,545
62195000,349000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1970,50.84637,4.4962482,1964,146,314,4,2,MISSING,0,0,1,,0,0,0,0,MISSING,728,F,GAS,0,1849
42404000,300000,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9770,50.9040446,3.5211778,2023,89,,,2,HYPER_EQUIPPED,0,0,1,30,0,0,0,0,GOOD,,MISSING,MISSING,1,
18965000,849000,APARTMENT,PENTHOUSE,Brussels-Capital,Brussels,Brussels,1030,,,,132,,2,2,INSTALLED,0,0,1,26,0,0,0,1,MISSING,,MISSING,MISSING,0,
53366000,801900,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8500,50.8331001,3.2693583,2024,118,,,3,MISSING,0,0,1,16,0,0,0,1,MISSING,30,A,MISSING,0,
36607000,320000,HOUSE,HOUSE,Wallonia,Liège,Verviers,4802,50.5742393,5.8629762,2005,100,0,2,2,INSTALLED,0,1,1,20,0,0,1,1,GOOD,109,B,MISSING,1,1221
36533000,175000,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8450,51.225123,2.9628536,,163,205,,2,SEMI_EQUIPPED,0,0,1,,0,0,0,0,TO_RENOVATE,426,E,MISSING,1,386
21501000,930000,HOUSE,APARTMENT_BLOCK,Brussels-Capital,Brussels,Brussels,1040,50.8320119,4.3891336,,340,330,2,4,USA_HYPER_EQUIPPED,0,0,1,,1,200,0,1,GOOD,177,D,GAS,1,2315
46393000,750000,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1310,,,,220,0,3,3,MISSING,0,1,1,25,0,0,0,1,AS_NEW,154,B,GAS,1,
38463000,379000,HOUSE,HOUSE,Wallonia,Liège,Liège,4624,50.6122349,5.6640071,,173,450,3,3,SEMI_EQUIPPED,0,1,0,0,0,0,0,1,MISSING,57,A,MISSING,0,
14319000,395000,HOUSE,BUNGALOW,Flanders,West Flanders,Brugge,8210,51.1420094,3.1442575,1968,161,1053,,3,INSTALLED,0,0,0,0,0,0,0,0,MISSING,404,E,FUELOIL,1,840
23160000,229000,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0670799,3.7291675,,43,,2,1,MISSING,0,0,0,0,0,0,0,0,GOOD,127,B,MISSING,1,
68155000,420000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,7180,50.5678375,4.2748602,2016,135,239,3,4,HYPER_EQUIPPED,0,1,1,30,1,90,0,0,AS_NEW,112,B,GAS,1,669
48528000,356068,HOUSE,HOUSE,Flanders,East Flanders,Gent,9800,50.9771417,3.4648864,,134,374,,3,MISSING,0,0,0,0,0,0,0,1,MISSING,18,A,MISSING,0,
45984000,375000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,,,,100,,,2,MISSING,0,1,1,7,0,0,0,1,MISSING,120,C,MISSING,0,
15581000,413000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2400,51.1873889,5.2246523,2021,177,746,4,3,INSTALLED,0,0,0,0,0,0,0,0,MISSING,20,A,MISSING,1,
4266000,298000,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2500,,,,115,77,2,2,INSTALLED,0,0,1,,0,0,0,0,GOOD,271,C,GAS,1,317
45498000,1795000,HOUSE,VILLA,Flanders,East Flanders,Gent,9000,51.0306617,3.7189831,1927,565,943,4,5,HYPER_EQUIPPED,0,0,1,1,1,1,0,0,AS_NEW,386,D,MISSING,1,3832
4319000,195000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8479441,4.3782034,1978,51,,,1,USA_SEMI_EQUIPPED,0,0,0,0,0,0,0,1,GOOD,155,D,GAS,1,1214
2446000,288500,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,50.6065405,3.3816288,2023,84,,2,2,MISSING,0,1,1,11,0,0,0,1,MISSING,,MISSING,MISSING,1,
6229000,640000,HOUSE,FARMHOUSE,Wallonia,Namur,Namur,5100,,,1850,800,19474,4,5,NOT_INSTALLED,0,1,1,40,1,19474,0,1,TO_RENOVATE,560,G,FUELOIL,0,1196
15339000,629000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9140,51.1297723,4.1340375,2014,212,749,3,3,HYPER_EQUIPPED,0,0,1,,0,0,0,0,AS_NEW,118.53,B,GAS,1,1100
16228000,299500,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9600,50.7387779,3.5986062,2024,108,,,2,MISSING,0,0,1,21,0,0,0,1,GOOD,,MISSING,MISSING,0,
10711000,295000,APARTMENT,DUPLEX,Flanders,East Flanders,Aalst,9400,50.8366018,4.0122488,2023,85,,2,1,INSTALLED,0,0,1,4,0,0,0,0,MISSING,,MISSING,MISSING,1,
8874000,251082,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.6450953,5.5320672,,71,,,1,INSTALLED,0,0,1,9,0,0,0,1,MISSING,,MISSING,MISSING,1,
46989000,239000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,50.8259266,4.2921201,1961,72,,3,0,MISSING,0,0,0,0,0,0,0,0,MISSING,200,D,GAS,1,1
42894000,407992,APARTMENT,PENTHOUSE,Flanders,West Flanders,Kortrijk,8580,50.7753496,3.4449968,2021,114,,,2,INSTALLED,0,0,1,60,0,0,0,0,MISSING,45,A,ELECTRIC,1,
62794000,1950000,APARTMENT,PENTHOUSE,Flanders,Antwerp,Antwerp,2000,,,2020,200,,,2,HYPER_EQUIPPED,0,0,1,72,0,0,0,0,AS_NEW,,MISSING,MISSING,1,
21063000,179000,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,50.7411456,3.1885013,,,0,,3,MISSING,0,0,0,0,0,0,0,1,MISSING,406,E,MISSING,0,748
52778000,249000,HOUSE,HOUSE,Wallonia,Liège,Liège,4630,50.6292302,5.7384313,,,0,4,3,USA_HYPER_EQUIPPED,0,0,1,55,0,0,0,0,GOOD,349,E,MISSING,1,1004
1957000,495000,HOUSE,TOWN_HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1600,50.8031359,4.2822461,2005,200,395,3,3,INSTALLED,0,0,0,0,1,150,0,1,GOOD,243,C,GAS,1,1800
34267000,487000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1650,50.7494804,4.2710422,1962,152,1674,4,3,USA_SEMI_EQUIPPED,0,1,1,35,1,,0,0,TO_BE_DONE_UP,718,F,GAS,0,1534
902000,495000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2173467,4.4038566,1924,133,,2,2,INSTALLED,0,0,1,25,0,0,0,1,JUST_RENOVATED,294,C,GAS,1,
3946000,366701,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2800,51.0240088,4.468717,,91,,,2,MISSING,0,0,1,12,0,0,0,1,MISSING,,MISSING,MISSING,0,
59772000,395000,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2246046,2.9089269,2024,100,,1,2,MISSING,0,0,1,14,0,0,0,1,MISSING,,A+,ELECTRIC,1,
35595000,180000,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Liège,4420,50.6365018,5.5307989,,143,270,,3,NOT_INSTALLED,0,0,1,9,1,160,0,1,TO_RENOVATE,255,C,GAS,1,483
60198000,175000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2620,51.1350242,4.335017,1966,82,,3,2,SEMI_EQUIPPED,0,1,0,0,0,0,0,0,GOOD,378,D,GAS,1,
41556000,219500,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6220,50.4844647,4.551279,,84,,,2,NOT_INSTALLED,0,1,1,9,0,0,0,1,MISSING,,MISSING,MISSING,0,
30246000,199000,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7321,50.493854,3.6641396,2023,130,550,4,3,MISSING,0,0,1,30,1,365,0,1,AS_NEW,70,A,GAS,1,
38938000,295000,HOUSE,TOWN_HOUSE,Wallonia,Hainaut,Tournai,7904,50.5662009,3.6035286,1918,213,2934,4,2,MISSING,0,0,0,0,0,0,0,0,MISSING,613,G,PELLET,1,391
15331000,335000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2018,51.1988368,4.3916133,,165,78,3,4,INSTALLED,1,0,1,,0,0,0,1,MISSING,376,D,MISSING,1,
40572000,1975000,HOUSE,APARTMENT_BLOCK,Flanders,East Flanders,Sint-Niklaas,9100,51.160546,4.155794,,1134,0,2,21,INSTALLED,0,1,1,30,0,0,0,1,GOOD,158,B,GAS,1,
62655000,242054,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2490,51.1721499,5.167624,2024,103,,,2,MISSING,0,0,1,19,0,0,0,1,MISSING,,MISSING,MISSING,0,
376000,820000,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1180,,,,318,373,2,4,INSTALLED,0,0,1,70,1,70,0,1,MISSING,,MISSING,GAS,0,
17728000,459000,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1450,50.5804201,4.641935,1954,219,1330,3,4,USA_SEMI_EQUIPPED,0,0,1,100,1,1133,0,1,GOOD,151,B,GAS,1,1017
57088000,285000,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4020,50.6430336,5.589185,,101,,,2,MISSING,0,0,1,6,0,0,0,1,MISSING,,MISSING,GAS,1,
1248000,279000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2660,51.1728357,4.3606165,1920,104,335,2,2,HYPER_EQUIPPED,0,0,1,,0,0,0,0,MISSING,165,B,GAS,1,
63620000,499000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9200,51.0559977,4.1051496,2023,200,301,2,3,MISSING,0,0,1,23,0,0,0,1,GOOD,,MISSING,MISSING,1,1
10101000,169000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.205882,4.4700404,,70,,,2,SEMI_EQUIPPED,0,0,1,2,0,0,0,0,TO_BE_DONE_UP,166,B,GAS,0,
22546000,199000,HOUSE,BUNGALOW,Wallonia,Liège,Huy,4540,50.5558161,5.3157536,1965,102,818,4,3,SEMI_EQUIPPED,0,0,0,0,1,677,0,0,GOOD,416,E,FUELOIL,1,813
54406000,180000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7000,50.4584967,3.9967834,,120,533,3,2,SEMI_EQUIPPED,0,0,1,,1,3712,0,0,GOOD,421,E,GAS,0,447
9314000,255000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,,,2012,96,,2,2,USA_INSTALLED,0,0,1,8,0,0,0,0,GOOD,91,B,GAS,1,
21821000,595000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2000,51.2181292,4.3956013,,229,77,,5,INSTALLED,0,0,1,13,0,0,0,0,MISSING,555,F,GAS,1,923
12825000,295000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9170,51.1850186,4.0798721,1959,,882,,2,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,1136,F,MISSING,0,
9259000,99000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.219382,4.4351614,1899,12,,3,1,MISSING,0,0,0,0,0,0,0,0,MISSING,282,C,GAS,1,297
65987000,225000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3130,51.0255059,4.8048216,1952,134,1222,4,2,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,1003,F,MISSING,1,617
46377000,175322,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4700,50.6335911,6.0298685,,75,,,1,MISSING,0,0,0,0,0,0,0,1,AS_NEW,100,B,GAS,1,
6680000,387500,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8530,50.8566077,3.3081939,2020,108,,4,3,INSTALLED,0,0,1,14,0,0,0,0,GOOD,,MISSING,MISSING,0,
46426000,577000,APARTMENT,PENTHOUSE,Flanders,Limburg,Hasselt,3500,50.9371591,5.3355347,,153,,,2,MISSING,0,0,1,60,0,0,0,1,MISSING,,A,MISSING,1,
55038000,415000,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1325,50.6819521,4.6935786,2021,124,,4,2,SEMI_EQUIPPED,0,1,1,28,1,168,0,1,MISSING,44,A+,GAS,1,
73181000,180000,HOUSE,HOUSE,Flanders,West Flanders,Veurne,8620,51.1318881,2.7569889,1919,67,81,,0,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,610,F,MISSING,0,
